in s,C1 in V,C2 in V
-1.200000E-03,-4.18164E-02,-2.25139E-01
-1.199760E-03,-4.27930E-02,-2.47210E-01
-1.199520E-03,-4.08398E-02,-2.41692E-01
-1.199280E-03,-4.08398E-02,-2.41692E-01
-1.199040E-03,-3.88867E-02,-2.25139E-01
-1.198800E-03,-4.27930E-02,-2.30657E-01
-1.198560E-03,-4.08398E-02,-2.14104E-01
-1.198320E-03,-4.37695E-02,-2.25139E-01
-1.198080E-03,-4.18164E-02,-2.08587E-01
-1.197840E-03,-4.47461E-02,-2.08587E-01
-1.197600E-03,-4.27930E-02,-2.47210E-01
-1.197360E-03,-4.37695E-02,-2.36174E-01
-1.197120E-03,-4.08398E-02,-2.14104E-01
-1.196880E-03,-4.08398E-02,-2.14104E-01
-1.196640E-03,-4.08398E-02,-1.75481E-01
-1.196400E-03,-3.98633E-02,-1.97551E-01
-1.196160E-03,-3.98633E-02,-2.08587E-01
-1.195920E-03,-4.47461E-02,-1.86516E-01
-1.195680E-03,-4.37695E-02,-1.97551E-01
-1.195440E-03,-4.27930E-02,-1.92034E-01
-1.195200E-03,-3.79102E-02,-1.64446E-01
-1.194960E-03,-4.18164E-02,-1.92034E-01
-1.194720E-03,-4.37695E-02,-1.75481E-01
-1.194480E-03,-4.08398E-02,-1.69963E-01
-1.194240E-03,-4.18164E-02,-1.75481E-01
-1.194000E-03,-4.08398E-02,-1.47893E-01
-1.193760E-03,-4.37695E-02,-1.25823E-01
-1.193520E-03,-4.47461E-02,-1.47893E-01
-1.193280E-03,-3.59570E-02,-1.25823E-01
-1.193040E-03,-4.37695E-02,-1.31340E-01
-1.192800E-03,-4.27930E-02,-1.53411E-01
-1.192560E-03,-3.98633E-02,-1.25823E-01
-1.192320E-03,-3.98633E-02,-1.36858E-01
-1.192080E-03,-4.27930E-02,-1.31340E-01
-1.191840E-03,-4.27930E-02,-1.31340E-01
-1.191600E-03,-4.18164E-02,-1.31340E-01
-1.191360E-03,-3.79102E-02,-1.03753E-01
-1.191120E-03,-4.08398E-02,-1.09270E-01
-1.190880E-03,-3.88867E-02,-1.14788E-01
-1.190640E-03,-3.98633E-02,-1.14788E-01
-1.190400E-03,-4.27930E-02,-1.09270E-01
-1.190160E-03,-4.27930E-02,-9.82350E-02
-1.189920E-03,-4.18164E-02,-9.27174E-02
-1.189680E-03,-4.27930E-02,-8.16822E-02
-1.189440E-03,-4.18164E-02,-7.06471E-02
-1.189200E-03,-4.27930E-02,-7.61646E-02
-1.188960E-03,-4.27930E-02,-7.61646E-02
-1.188720E-03,-4.08398E-02,-6.51295E-02
-1.188480E-03,-4.08398E-02,-7.61646E-02
-1.188240E-03,-4.18164E-02,-6.51295E-02
-1.188000E-03,-3.79102E-02,-4.30592E-02
-1.187760E-03,-3.98633E-02,-4.85768E-02
-1.187520E-03,-4.08398E-02,-2.09889E-02
-1.187280E-03,-4.08398E-02,-5.40943E-02
-1.187040E-03,-4.08398E-02,-2.65064E-02
-1.186800E-03,-4.37695E-02,-4.30592E-02
-1.186560E-03,-4.08398E-02,-4.85768E-02
-1.186320E-03,-4.08398E-02,-4.85768E-02
-1.186080E-03,-4.18164E-02,-3.20240E-02
-1.185840E-03,-4.57227E-02,-1.54713E-02
-1.185600E-03,-4.18164E-02,-3.75416E-02
-1.185360E-03,-4.08398E-02,-3.20240E-02
-1.185120E-03,-4.18164E-02,-1.54713E-02
-1.184880E-03,-3.88867E-02,-9.95371E-03
-1.184640E-03,-3.98633E-02,-2.09889E-02
-1.184400E-03,-4.37695E-02,-1.54713E-02
-1.184160E-03,-4.08398E-02,2.31518E-02
-1.183920E-03,-3.79102E-02,2.31518E-02
-1.183680E-03,-4.27930E-02,1.21166E-02
-1.183440E-03,-4.18164E-02,2.31518E-02
-1.183200E-03,-4.08398E-02,2.31518E-02
-1.182960E-03,-4.08398E-02,3.97045E-02
-1.182720E-03,-4.08398E-02,5.62572E-02
-1.182480E-03,-4.08398E-02,3.97045E-02
-1.182240E-03,-4.18164E-02,4.52221E-02
-1.182000E-03,-4.18164E-02,5.62572E-02
-1.181760E-03,-3.88867E-02,4.52221E-02
-1.181520E-03,-3.98633E-02,2.31518E-02
-1.181280E-03,-4.08398E-02,6.72924E-02
-1.181040E-03,-4.08398E-02,5.07396E-02
-1.180800E-03,-4.08398E-02,6.17748E-02
-1.180560E-03,-4.18164E-02,5.62572E-02
-1.180320E-03,-4.08398E-02,4.52221E-02
-1.180080E-03,-3.88867E-02,6.17748E-02
-1.179840E-03,-3.69336E-02,5.62572E-02
-1.179600E-03,-3.98633E-02,5.62572E-02
-1.179360E-03,-4.37695E-02,7.83275E-02
-1.179120E-03,-4.18164E-02,6.72924E-02
-1.178880E-03,-4.37695E-02,8.38451E-02
-1.178640E-03,-4.08398E-02,6.17748E-02
-1.178400E-03,-4.18164E-02,6.72924E-02
-1.178160E-03,-4.37695E-02,8.38451E-02
-1.177920E-03,-3.88867E-02,1.05915E-01
-1.177680E-03,-3.98633E-02,1.00398E-01
-1.177440E-03,-4.08398E-02,9.48803E-02
-1.177200E-03,-4.47461E-02,9.48803E-02
-1.176960E-03,-4.08398E-02,1.27986E-01
-1.176720E-03,-4.37695E-02,1.16951E-01
-1.176480E-03,-4.08398E-02,1.27986E-01
-1.176240E-03,-4.37695E-02,1.05915E-01
-1.176000E-03,-4.18164E-02,1.39021E-01
-1.175760E-03,-4.37695E-02,1.16951E-01
-1.175520E-03,-3.88867E-02,1.61091E-01
-1.175280E-03,-3.88867E-02,1.33503E-01
-1.175040E-03,-4.27930E-02,1.33503E-01
-1.174800E-03,-4.18164E-02,1.33503E-01
-1.174560E-03,-4.18164E-02,1.27986E-01
-1.174320E-03,-3.79102E-02,1.44538E-01
-1.174080E-03,-3.98633E-02,1.27986E-01
-1.173840E-03,-4.08398E-02,1.39021E-01
-1.173600E-03,-4.18164E-02,1.33503E-01
